Initialising login role...
Connecting to remote database...

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20251203204328 | 20251203204328 | 2025-12-03 20:43:28 
   20251203204351 | 20251203204351 | 2025-12-03 20:43:51 
   20251205195015 | 20251205195015 | 2025-12-05 19:50:15 
   20251205195310 | 20251205195310 | 2025-12-05 19:53:10 
   20251205213135 | 20251205213135 | 2025-12-05 21:31:35 
   20251206000001 | 20251206000001 | 2025-12-06 00:00:01 
   20251206000002 | 20251206000002 | 2025-12-06 00:00:02 
   20251207000001 | 20251207000001 | 2025-12-07 00:00:01 
   20251211000001 | 20251211000001 | 2025-12-11 00:00:01 
   20251211000002 | 20251211000002 | 2025-12-11 00:00:02 
   20260107234208 | 20260107234208 | 2026-01-07 23:42:08 
   20260107234253 | 20260107234253 | 2026-01-07 23:42:53 
   20260108120000 | 20260108120000 | 2026-01-08 12:00:00 
   20260108130000 | 20260108130000 | 2026-01-08 13:00:00 
   20260108191621 | 20260108191621 | 2026-01-08 19:16:21 
   20260108191906 | 20260108191906 | 2026-01-08 19:19:06 
   20260108192307 | 20260108192307 | 2026-01-08 19:23:07 
   20260109000000 | 20260109000000 | 2026-01-09 00:00:00 
   20260110000000 | 20260110000000 | 2026-01-10 00:00:00 
   20260110000001 | 20260110000001 | 2026-01-10 00:00:01 
   20260110000002 | 20260110000002 | 2026-01-10 00:00:02 
   20260110000003 | 20260110000003 | 2026-01-10 00:00:03 
   20260110000004 | 20260110000004 | 2026-01-10 00:00:04 
   20260110000005 | 20260110000005 | 2026-01-10 00:00:05 
   20260110000006 | 20260110000006 | 2026-01-10 00:00:06 
   20260110000007 | 20260110000007 | 2026-01-10 00:00:07 
   20260110000008 | 20260110000008 | 2026-01-10 00:00:08 
   20260110221233 | 20260110221233 | 2026-01-10 22:12:33 
   20260111000000 | 20260111000000 | 2026-01-11 00:00:00 
   20260111000001 | 20260111000001 | 2026-01-11 00:00:01 
   20260111000002 | 20260111000002 | 2026-01-11 00:00:02 
   20260112000000 | 20260112000000 | 2026-01-12 00:00:00 
   20260113000000 | 20260113000000 | 2026-01-13 00:00:00 
   20260113000001 | 20260113000001 | 2026-01-13 00:00:01 
   20260113014121 | 20260113014121 | 2026-01-13 01:41:21 
   20260113014122 | 20260113014122 | 2026-01-13 01:41:22 
   20260113020000 | 20260113020000 | 2026-01-13 02:00:00 
   20260114000000 | 20260114000000 | 2026-01-14 00:00:00 
   20260114000001 | 20260114000001 | 2026-01-14 00:00:01 
   20260114000002 | 20260114000002 | 2026-01-14 00:00:02 
   20260114000003 | 20260114000003 | 2026-01-14 00:00:03 
   20260114000004 | 20260114000004 | 2026-01-14 00:00:04 
   20260114000005 | 20260114000005 | 2026-01-14 00:00:05 
   20260116230000 | 20260116230000 | 2026-01-16 23:00:00 
   20260117002000 | 20260117002000 | 2026-01-17 00:20:00 
   20260117101659 | 20260117101659 | 2026-01-17 10:16:59 
   20260118000000 | 20260118000000 | 2026-01-18 00:00:00 
   20260125000000 | 20260125000000 | 2026-01-25 00:00:00 
   20260127144345 | 20260127144345 | 2026-01-27 14:43:45 
   20260127174158 | 20260127174158 | 2026-01-27 17:41:58 
   20260128000000 | 20260128000000 | 2026-01-28 00:00:00 
   20260128120000 | 20260128120000 | 2026-01-28 12:00:00 
   20260201143417 | 20260201143417 | 2026-02-01 14:34:17 
   20260201143802 | 20260201143802 | 2026-02-01 14:38:02 
   20260202102903 | 20260202102903 | 2026-02-02 10:29:03 
   20260205113244 | 20260205113244 | 2026-02-05 11:32:44 
   20260207000000 | 20260207000000 | 2026-02-07 00:00:00 
   20260207000001 | 20260207000001 | 2026-02-07 00:00:01 
   20260209000000 | 20260209000000 | 2026-02-09 00:00:00 
   20260209140000 | 20260209140000 | 2026-02-09 14:00:00 
   20260209150000 | 20260209150000 | 2026-02-09 15:00:00 
   20260210000000 | 20260210000000 | 2026-02-10 00:00:00 
   20260210000001 | 20260210000001 | 2026-02-10 00:00:01 
   20260211000000 | 20260211000000 | 2026-02-11 00:00:00 
   20260211135952 | 20260211135952 | 2026-02-11 13:59:52 
   20260211144446 | 20260211144446 | 2026-02-11 14:44:46 
   20260212000000 | 20260212000000 | 2026-02-12 00:00:00 
   20260219000000 | 20260219000000 | 2026-02-19 00:00:00 
   20260219185900 | 20260219185900 | 2026-02-19 18:59:00 
   20260222000001 | 20260222000001 | 2026-02-22 00:00:01 
   20260225000000 | 20260225000000 | 2026-02-25 00:00:00 
   20260225000001 |                | 2026-02-25 00:00:01 
                  | 20260225010000 | 2026-02-25 01:00:00 
                  | 20260225020000 | 2026-02-25 02:00:00 

